county,states,statefips,pci,household_income,family_income,population,num_of_households
Grayson,Texas,48,24003,46429,57313,121292,46559
Horry,South Carolina,45,24002,42431,51252,276688,113490
Lemhi,Idaho,16,23998,34122,53709,7853,3832
Bosque,Texas,48,23992,44742,53835,18094,7012
Owen,Kentucky,21,23991,41009,60356,10807,4601
Pulaski,Virginia,51,23987,44312,54224,34768,14875
Livingston,New York,36,23978,53518,66664,65087,24092
Steuben,Indiana,18,23975,48080,56300,34190,13514
Mahoning,Ohio,39,23975,41058,54118,237033,98201
Volusia,Florida,12,23973,42457,53086,496268,195907
Curry,Oregon,41,23972,39516,48833,22361,10355
Hansford,Texas,48,23969,49150,57703,5566,1983
Custer,Idaho,16,23965,39541,60954,4331,1870
Beckham,Oklahoma,40,23959,48989,60852,22715,7755
Treasure,Montana,30,23948,37105,47206,711,332
Roane,Tennessee,47,23936,42223,52729,53765,22117
Lake,Indiana,18,23918,49035,60080,494250,182080
Christian,Illinois,17,23915,45145,56066,34651,14138
Custer,Montana,30,23910,43524,58594,11785,4986
Lapeer,Michigan,26,23907,52939,60597,88323,32684
Oconee,South Carolina,45,23904,41394,49753,74419,30106
Dickinson,Kansas,20,23895,48890,58884,19734,7845
Penobscot,Maine,23,23895,43734,56155,153649,62608
Pacific,Washington,53,23888,39830,50919,20781,9366
Lucas,Ohio,39,23885,41556,55295,439511,178101
Jackson,Mississippi,28,23879,48943,58357,139906,50007
Knox,Ohio,39,23878,49750,59561,60925,22583
Clay,Nebraska,31,23876,46784,54762,6469,2647
Blair,Pennsylvania,42,23875,42992,55446,126940,51433
St. Clair,Alabama,1,23872,50786,57643,84521,31353
Crockett,Texas,48,23872,50475,57050,3840,1375
King and Queen,Virginia,51,23868,48372,55182,7020,2863
Gallatin,Illinois,17,23862,40330,53250,5516,2369
Elmore,Alabama,1,23856,54766,65479,79895,28324
Warren,Kentucky,21,23853,44135,60772,115438,44240
Pickaway,Ohio,39,23851,54003,64576,55949,19167
Sullivan,Tennessee,47,23850,39479,50725,156741,66239
Fulton,New York,36,23839,44276,54619,55165,22611
Greeley,Nebraska,31,23833,44950,55909,2507,1011
Grant,Oregon,41,23828,35051,46000,7359,3319
Columbia,Washington,53,23814,42519,50956,4027,1651
Washita,Oklahoma,40,23811,46686,53912,11631,4630
Robertson,Tennessee,47,23809,52792,60073,66623,24136
Walla Walla,Washington,53,23809,46597,59108,59092,21677
Perquimans,North Carolina,37,23809,43709,51103,13463,5437
Sawyer,Wisconsin,55,23809,39904,46831,16542,7663
Uintah,Utah,49,23805,62067,65922,33722,11007
Wichita,Kansas,20,23799,53018,54952,2231,877
Bay,Michigan,26,23799,45376,55652,107312,44127
Taylor,Iowa,19,23793,43804,51701,6256,2764
Marquette,Michigan,26,23789,45622,61103,67358,26436
