county,states,statefips,pci,household_income,family_income,population,num_of_households
Bennett,South Dakota,46,16275,37607,40282,3431,1059
Liberty,Florida,12,16266,39681,52230,8308,2305
Harlan,Kentucky,21,16257,25906,33791,29012,11343
Morgan,Kentucky,21,16233,30658,41116,13657,4697
Culberson,Texas,48,16227,37105,43793,2345,838
Jefferson Davis,Mississippi,28,16216,27186,34986,12248,4895
Lake,Michigan,26,16202,29379,37664,11485,4096
Carolina,Puerto Rico,72,16188,29082,32352,176762,64056
Radford City,Virginia,51,16181,30714,57450,16705,5516
Garza,Texas,48,16175,47540,56979,6356,1588
Presidio,Texas,48,16175,29634,36559,7579,2616
Burke,Georgia,13,16171,31494,41707,23223,7881
Hendry,Florida,12,16133,35425,40657,38346,11223
Lewis,Kentucky,21,16132,28388,40119,13859,5003
Cibola,New Mexico,35,16129,37237,42024,27296,8016
Luna,New Mexico,35,16114,29282,35762,25001,8862
Brunswick,Virginia,51,16060,36293,45838,17220,5826
Chattooga,Georgia,13,16045,33228,40623,25670,9457
Sevier,Arkansas,5,16021,35153,44267,17137,5745
Glades,Florida,12,16011,34694,37317,13080,3843
Lawrence,Arkansas,5,15971,32239,42457,17227,6580
Whitley,Kentucky,21,15960,29769,37441,35718,13172
Atkinson,Georgia,13,15958,30049,34500,8332,2758
Owyhee,Idaho,16,15945,32175,37118,11474,3911
Menifee,Kentucky,21,15942,29108,33897,6334,2379
Mitchell,Texas,48,15936,42045,53022,9388,2748
Jackson,Kentucky,21,15880,26156,29749,13418,5712
Frio,Texas,48,15863,35849,38823,17522,4805
Echols,Georgia,13,15861,31375,41818,4053,1382
Mellette,South Dakota,46,15760,35109,36023,2072,698
Lauderdale,Tennessee,47,15758,32326,38356,27794,9686
Monroe,Alabama,1,15749,29203,36807,22778,8333
Bledsoe,Tennessee,47,15747,33443,39993,12853,4556
Sharkey,Mississippi,28,15744,35125,51250,4889,1725
Coahoma,Mississippi,28,15742,26407,31078,25815,9464
Grady,Georgia,13,15734,30571,38759,25143,9290
Trujillo Alto,Puerto Rico,72,15703,31202,36024,74842,24357
Big Horn,Montana,30,15695,39966,46968,12939,3444
Mitchell,Georgia,13,15694,32054,41477,23340,8131
Grundy,Tennessee,47,15683,26814,35507,13657,5359
Scotland,North Carolina,37,15679,29592,36073,36201,13047
Jackson,Arkansas,5,15609,30284,38639,17809,6541
Conecuh,Alabama,1,15605,24658,31966,13104,4994
Glacier,Montana,30,15604,33519,36701,13528,4194
Casey,Kentucky,21,15603,29934,41516,16006,6050
Dewey,South Dakota,46,15558,30710,37277,5419,1687
Mississippi County,Missouri,29,15558,29787,38789,14271,5227
Tunica,Mississippi,28,15549,31446,34946,10660,4116
Madison,Florida,12,15538,33833,40486,19070,6739
Martin,Kentucky,21,15525,26261,31922,12835,4449
Montgomery,Mississippi,28,15523,30466,37395,10754,4229
St. Francis,Arkansas,5,15511,30873,34705,27914,9358
Rolette,North Dakota,38,15502,31336,38763,14176,4750
Dorado,Puerto Rico,72,15495,29354,34351,38165,12029
Sioux,North Dakota,38,15478,36111,34042,4258,1116
San Juan,Utah,49,15476,40492,46615,14795,4216
Reeves,Texas,48,15467,40571,44980,13775,3542
Hardee,Florida,12,15366,37125,40872,27336,7463
Robeson,North Carolina,37,15343,29806,35861,134535,45154
Tattnall,Georgia,13,15280,37587,47204,25343,7885
Powell,Kentucky,21,15174,26839,39010,12582,4730
Kenedy,Texas,48,15157,43438,59643,524,159
Madison,Idaho,16,15133,32059,37385,37542,10323
Madison,Texas,48,15131,41732,49303,13689,3743
Magoffin,Kentucky,21,15118,26877,34600,13179,4931
Adair,Oklahoma,40,15116,32556,39019,22427,8046
Bell,Kentucky,21,15091,26228,31816,28409,11109
DeSoto,Florida,12,15088,34963,38565,34651,10622
Bent,Colorado,8,15081,37340,42598,6141,1873
Lincoln,Arkansas,5,15023,32697,40936,14148,4188
Dillon,South Carolina,45,14988,28817,33952,31661,11744
Hardeman,Tennessee,47,14975,30973,41966,26897,8690
Greene,Alabama,1,14930,24226,31809,8934,3264
Calhoun,Georgia,13,14868,26986,39514,6592,1804
Williamsburg,South Carolina,45,14845,25849,39346,33944,11621
Jones,Texas,48,14827,41297,51219,20079,5641
Lexington City,Virginia,51,14763,36505,57868,7026,1709
Jefferson,Georgia,13,14757,26968,34739,16696,6220
Wright,Missouri,29,14752,28645,37295,18643,7295
Lee,South Carolina,45,14740,27373,36935,18890,6737
Menominee,Wisconsin,55,14710,33333,37321,4292,1220
Cameron,Texas,48,14710,33179,36332,410710,117836
Breathitt,Kentucky,21,14706,24045,28825,13776,5290
Calhoun,Florida,12,14675,32780,39384,14700,4696
Marlboro,South Carolina,45,14577,28297,31440,28542,9779
Webb,Texas,48,14553,39449,41410,254829,67372
Dooly,Georgia,13,14510,29012,38617,14554,5133
Greene,Mississippi,28,14463,36888,47109,14337,4117
Taliaferro,Georgia,13,14381,25465,36500,1766,704
Knox,Kentucky,21,14367,24038,32879,31865,12350
Brooks,Texas,48,14345,21865,28558,7225,2439
Hancock,Tennessee,47,14326,23892,30776,6737,2835
Leflore,Mississippi,28,14307,24480,30285,31993,10887
Yazoo,Mississippi,28,14291,26336,33157,28122,8710
Corson,South Dakota,46,14262,30880,37250,4078,1185
Hidalgo,Texas,48,14222,34146,36884,790646,217691
Ben Hill,Georgia,13,14204,28547,35307,17576,6110
Quitman,Georgia,13,14201,31068,33333,2396,932
Guadalupe,New Mexico,35,14198,29071,36435,4626,1260
Toa Alta,Puerto Rico,72,14162,29672,33031,74066,22205
Wolfe,Kentucky,21,14157,22574,30407,7299,2779
Sumter,Alabama,1,14156,22186,35594,13552,5060
Lawrence,Illinois,17,14147,40145,48269,16702,4872
Hudspeth,Texas,48,14142,22545,25304,3394,1096
Bayamon,Puerto Rico,72,14138,25528,30025,208116,69318
McDowell,West Virginia,54,14093,22252,30671,21651,8229
Elliott,Kentucky,21,14040,24246,33786,7784,2618
Lee,Kentucky,21,13969,22920,30036,7554,2951
Quitman,Mississippi,28,13954,22863,28171,8028,3114
Caguas,Puerto Rico,72,13904,24229,28934,142893,49386
Macon,Georgia,13,13865,30240,37668,14455,4887
Kemper,Mississippi,28,13795,29003,40962,10383,3605
Issaquena,Mississippi,28,13731,24767,26488,1383,461
Perry,Alabama,1,13716,28209,32108,10390,3400
Maverick,Texas,48,13668,31395,34762,54880,15714
Forest,Pennsylvania,42,13646,36556,45120,7696,2001
Alexander,Illinois,17,13619,26972,33977,7980,2860
Owsley,Kentucky,21,13611,19986,29973,4738,1721
Union,Florida,12,13590,42660,48365,15307,3807
Madison,Louisiana,22,13585,25498,33063,12049,4068
Clay,Kentucky,21,13542,21883,30085,21633,7317
Wilcox,Alabama,1,13379,23642,26739,11531,3866
Allendale,South Carolina,45,13334,25252,30276,10214,3424
La Salle,Texas,48,13307,26756,36632,6921,1864
Stewart,Georgia,13,13238,23451,32566,6007,1851
Wilcox,Georgia,13,13228,32928,38627,9110,2705
Clay,Georgia,13,12982,21192,28352,3133,1235
Humphreys,Mississippi,28,12874,23600,28816,9258,3107
Zavala,Texas,48,12828,25625,32930,11849,3654
Noxubee,Mississippi,28,12780,24338,34375,11358,4194
Tallahatchie,Mississippi,28,12747,29853,37539,15231,4640
Jefferson,Mississippi,28,12723,26028,32793,7690,2520
Apache,Arizona,4,12709,31476,37095,71978,19055
McKinley,New Mexico,35,12679,30458,36109,72373,17427
Cayey,Puerto Rico,72,12594,20442,23326,48119,16459
Sunflower,Mississippi,28,12588,26619,31893,28722,8394
Lee,Arkansas,5,12529,25034,32986,10267,3491
Telfair,Georgia,13,12489,26634,33608,16391,5567
Hancock,Georgia,13,12381,25000,35795,9233,2742
Ziebach,South Dakota,46,12339,32708,32273,2821,803
Toa Baja,Puerto Rico,72,12240,24583,28710,89609,27802
Claiborne,Mississippi,28,12177,23689,31385,9553,3190
Holmes,Mississippi,28,12113,22325,25995,18931,6511
East Carroll,Louisiana,22,12055,25321,30840,7674,2488
Lake,Tennessee,47,12042,27115,36926,7773,2201
Ceiba,Puerto Rico,72,11840,18998,22247,13631,4532
McCreary,Kentucky,21,11818,20972,30543,18163,6312
Humacao,Puerto Rico,72,11682,18735,22383,58466,18378
Cataño,Puerto Rico,72,11627,18663,22853,28140,9068
Hormigueros,Puerto Rico,72,11588,19674,25206,17250,6271
Starr,Texas,48,11584,24927,27552,61351,15949
Culebra,Puerto Rico,72,11450,23355,26797,1818,520
Buffalo,South Dakota,46,11405,30962,31301,1966,542
Willacy,Texas,48,11313,25886,31592,22039,5499
Kusilvak Census Area,Alaska,2,11210,40176,40750,7678,1744
Vieques,Puerto Rico,72,11136,16261,24500,9301,2555
Canovanas,Puerto Rico,72,11094,19986,24911,47648,14603
Cidra,Puerto Rico,72,10965,20389,22712,43480,12998
Fajardo,Puerto Rico,72,10900,18941,22940,36993,12436
Aguadilla,Puerto Rico,72,10872,16821,19491,60949,21322
Rio Grande,Puerto Rico,72,10804,22584,26704,54304,15938
Ponce,Puerto Rico,72,10775,16561,19993,166327,53341
Mayaguez,Puerto Rico,72,10656,14642,20087,89080,29769
Aguas Buenas,Puerto Rico,72,10615,16733,20507,28659,8594
Todd,South Dakota,46,10575,31934,32671,9783,2680
Manati,Puerto Rico,72,10559,18191,23699,44113,15703
San Lorenzo,Puerto Rico,72,10497,18589,22756,41058,13670
Vega Alta,Puerto Rico,72,10492,18053,21235,39951,12529
Tinian,Northern Mariana Islands,#N/A,10489,24470,27563,3136,874
Santa Isabel,Puerto Rico,72,10478,16816,19995,23274,7759
Villalba,Puerto Rico,72,10449,19893,23363,26073,7761
Luquillo,Puerto Rico,72,10434,19377,23123,20068,6636
Hatillo,Puerto Rico,72,10360,17770,22702,41953,14443
Las Piedras,Puerto Rico,72,10342,20587,24225,38675,12534
Coamo,Puerto Rico,72,10307,19110,22392,40512,13783
Juana Diaz,Puerto Rico,72,10244,20228,22444,79897,15964
Aibonito,Puerto Rico,72,10224,18387,21491,25900,8573
Rincon,Puerto Rico,72,10220,18292,21526,15200,5079
Vega Baja,Puerto Rico,72,10197,18900,23604,59662,17746
Naguabo,Puerto Rico,72,10016,18976,20897,26720,8346
Rota,Northern Mariana Islands,#N/A,9964,23125,26522,2477,755
Arecibo,Puerto Rico,72,9954,17289,21288,96440,32308
Camuy,Puerto Rico,72,9738,17579,21360,35159,11571
Swains Island,American Samoa,#N/A,9586,27500,32500,17,6
Saipan,Northern Mariana Islands,#N/A,9586,19607,22086,48220,14406
San German,Puerto Rico,72,9563,15036,19904,35527,11922
Cabo Rojo,Puerto Rico,72,9523,16461,20607,50917,16495
Añasco,Puerto Rico,72,9344,18765,22396,29261,9255
Quebradillas,Puerto Rico,72,9287,16082,19163,25919,8491
Guayama,Puerto Rico,72,9183,15296,18195,45362,14989
Sabana Grande,Puerto Rico,72,9158,15736,20011,25265,7568
Juncos,Puerto Rico,72,9017,18553,20219,40290,12627
Aguada,Puerto Rico,72,9001,16199,19158,41959,12824
Naranjito,Puerto Rico,72,8996,18069,22340,30402,8696
Wheeler,Georgia,13,8948,24382,31556,7746,2096
Maunabo,Puerto Rico,72,8830,17636,22117,12225,3976
Morovis,Puerto Rico,72,8816,18739,20723,32610,10129
Isabela,Puerto Rico,72,8798,16333,18768,45631,15230
Oglala Lakota,South Dakota,46,8768,25648,26029,13829,2867
Barceloneta,Puerto Rico,72,8762,17113,20613,24816,8090
Salinas,Puerto Rico,72,8738,16246,18614,31078,10718
Loiza,Puerto Rico,72,8729,17273,19666,30060,8919
Patillas,Puerto Rico,72,8679,14512,18731,19277,6501
Yabucoa,Puerto Rico,72,8672,15586,18768,37941,11989
Guayanilla,Puerto Rico,72,8347,14988,17328,21581,6575
Lares,Puerto Rico,72,8212,12820,16259,30753,10051
Utuado,Puerto Rico,72,8140,15931,19856,33149,9727
Yauco,Puerto Rico,72,8124,14451,19773,42043,10749
San Sebastian,Puerto Rico,72,8072,14275,17487,42430,14278
Ciales,Puerto Rico,72,8049,14432,16812,18782,5949
Peñuelas,Puerto Rico,72,7983,16868,18399,24282,7132
Corozal,Puerto Rico,72,7887,14752,18152,37142,11026
Moca,Puerto Rico,72,7881,13413,16839,40109,12975
Florida,Puerto Rico,72,7837,16919,20656,12680,4300
Barranquitas,Puerto Rico,72,7716,15694,16939,30318,9109
Arroyo,Puerto Rico,72,7639,15689,18014,19575,6127
Orocovis,Puerto Rico,72,7326,14296,16354,23423,6797
Lajas,Puerto Rico,72,7229,13896,15939,25753,8059
Guanica,Puerto Rico,72,7207,12653,14029,19427,5528
Jayuya,Puerto Rico,72,7179,15615,19955,16642,4818
Las Marias,Puerto Rico,72,7154,14404,19698,9881,3033
Adjuntas,Puerto Rico,72,7117,11680,13582,19483,6166
Comerío,Puerto Rico,72,7047,13523,15799,20778,6075
Western District,American Samoa,#N/A,6429,24705,24916,31329,5418
Eastern District,American Samoa,#N/A,6191,23350,24911,23030,3982
Maricao,Puerto Rico,72,5943,13462,15864,6276,1914
Manu’a District,American Samoa,#N/A,5441,17614,19226,1143,282
